Date,Commodity,Region,Price,Unit,Category,Source,Year,Month,Day,DayOfYear,WeekOfYear,Season
2024-10-24,Beetroot,Bangalore,24.29,per kg,Vegetable,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Beetroot,Bangalore,21.42,per kg,Vegetable,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Beetroot,Bangalore,27.84,per kg,Vegetable,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Beetroot,Bangalore,30.16,per kg,Vegetable,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Beetroot,Bangalore,17.55,per kg,Vegetable,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Beetroot,Bangalore,30.53,per kg,Vegetable,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Beetroot,Bangalore,36.13,per kg,Vegetable,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Beetroot,Bangalore,26.97,per kg,Vegetable,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Beetroot,Bangalore,19.53,per kg,Vegetable,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Beetroot,Bangalore,30.13,per kg,Vegetable,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Beetroot,Bangalore,28.74,per kg,Vegetable,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Beetroot,Bangalore,38.81,per kg,Vegetable,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Beetroot,Bangalore,35.75,per kg,Vegetable,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Beetroot,Bangalore,40.41,per kg,Vegetable,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Beetroot,Bangalore,35.92,per kg,Vegetable,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Beetroot,Bangalore,48.01,per kg,Vegetable,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Beetroot,Bangalore,47.05,per kg,Vegetable,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Beetroot,Bangalore,45.71,per kg,Vegetable,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Beetroot,Bangalore,39.68,per kg,Vegetable,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Beetroot,Bangalore,39.93,per kg,Vegetable,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Beetroot,Bangalore,44.76,per kg,Vegetable,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Beetroot,Bangalore,37.58,per kg,Vegetable,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Beetroot,Bangalore,41.37,per kg,Vegetable,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Beetroot,Bangalore,41.3,per kg,Vegetable,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Beetroot,Bangalore,44.01,per kg,Vegetable,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Beetroot,Bangalore,37.59,per kg,Vegetable,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Beetroot,Bangalore,41.8,per kg,Vegetable,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Beetroot,Bangalore,49.6,per kg,Vegetable,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Beetroot,Bangalore,42.41,per kg,Vegetable,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Beetroot,Bangalore,42.74,per kg,Vegetable,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Beetroot,Bangalore,35.93,per kg,Vegetable,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Beetroot,Bangalore,45.55,per kg,Vegetable,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Beetroot,Bangalore,39.2,per kg,Vegetable,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Beetroot,Bangalore,42.95,per kg,Vegetable,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Beetroot,Bangalore,30.25,per kg,Vegetable,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Beetroot,Bangalore,39.03,per kg,Vegetable,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Beetroot,Bangalore,30.28,per kg,Vegetable,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Beetroot,Bangalore,30.96,per kg,Vegetable,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Beetroot,Bangalore,30.24,per kg,Vegetable,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Beetroot,Bangalore,30.48,per kg,Vegetable,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Beetroot,Bangalore,22.68,per kg,Vegetable,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Beetroot,Bangalore,35.33,per kg,Vegetable,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Beetroot,Bangalore,24.57,per kg,Vegetable,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Beetroot,Belgaum,21.07,per kg,Vegetable,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Beetroot,Belgaum,21.35,per kg,Vegetable,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Beetroot,Belgaum,23.04,per kg,Vegetable,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Beetroot,Belgaum,19.43,per kg,Vegetable,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Beetroot,Belgaum,16.97,per kg,Vegetable,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Beetroot,Belgaum,18.61,per kg,Vegetable,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Beetroot,Belgaum,20.69,per kg,Vegetable,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Beetroot,Belgaum,20.61,per kg,Vegetable,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Beetroot,Belgaum,18.5,per kg,Vegetable,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Beetroot,Belgaum,16.64,per kg,Vegetable,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Beetroot,Belgaum,20.45,per kg,Vegetable,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Beetroot,Belgaum,17.27,per kg,Vegetable,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Beetroot,Belgaum,18.74,per kg,Vegetable,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Beetroot,Belgaum,15.19,per kg,Vegetable,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Beetroot,Belgaum,23.14,per kg,Vegetable,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Beetroot,Belgaum,22.02,per kg,Vegetable,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Beetroot,Belgaum,27.31,per kg,Vegetable,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Beetroot,Belgaum,23.86,per kg,Vegetable,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Beetroot,Belgaum,33.67,per kg,Vegetable,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Beetroot,Belgaum,27.13,per kg,Vegetable,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Beetroot,Belgaum,24.32,per kg,Vegetable,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Beetroot,Belgaum,30.45,per kg,Vegetable,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Beetroot,Belgaum,29.79,per kg,Vegetable,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Beetroot,Belgaum,32.66,per kg,Vegetable,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Beetroot,Belgaum,37.08,per kg,Vegetable,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Beetroot,Belgaum,36.52,per kg,Vegetable,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Beetroot,Belgaum,34.67,per kg,Vegetable,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Beetroot,Belgaum,28.12,per kg,Vegetable,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Beetroot,Belgaum,36.09,per kg,Vegetable,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Beetroot,Belgaum,36.89,per kg,Vegetable,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Beetroot,Belgaum,33.73,per kg,Vegetable,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Beetroot,Belgaum,33.94,per kg,Vegetable,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Beetroot,Belgaum,32.96,per kg,Vegetable,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Beetroot,Belgaum,28.07,per kg,Vegetable,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Beetroot,Belgaum,39.22,per kg,Vegetable,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Beetroot,Belgaum,29.46,per kg,Vegetable,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Beetroot,Belgaum,32.96,per kg,Vegetable,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Beetroot,Belgaum,42.34,per kg,Vegetable,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Beetroot,Belgaum,32.0,per kg,Vegetable,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Beetroot,Belgaum,35.87,per kg,Vegetable,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Beetroot,Belgaum,32.55,per kg,Vegetable,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Beetroot,Belgaum,41.66,per kg,Vegetable,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Beetroot,Belgaum,31.29,per kg,Vegetable,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Beetroot,Belgaum,33.81,per kg,Vegetable,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Beetroot,Belgaum,27.21,per kg,Vegetable,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Beetroot,Belgaum,33.12,per kg,Vegetable,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Beetroot,Belgaum,31.06,per kg,Vegetable,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Beetroot,Belgaum,26.44,per kg,Vegetable,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Beetroot,Belgaum,21.75,per kg,Vegetable,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Beetroot,Belgaum,21.39,per kg,Vegetable,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Beetroot,Belgaum,25.65,per kg,Vegetable,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Beetroot,Belgaum,21.22,per kg,Vegetable,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Beetroot,Belgaum,21.85,per kg,Vegetable,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Beetroot,Davangere,24.79,per kg,Vegetable,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Beetroot,Davangere,25.21,per kg,Vegetable,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Beetroot,Davangere,24.91,per kg,Vegetable,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Beetroot,Davangere,16.27,per kg,Vegetable,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Beetroot,Davangere,16.62,per kg,Vegetable,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Beetroot,Davangere,21.99,per kg,Vegetable,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Beetroot,Davangere,23.5,per kg,Vegetable,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Beetroot,Davangere,22.84,per kg,Vegetable,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Beetroot,Davangere,22.9,per kg,Vegetable,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Beetroot,Davangere,21.52,per kg,Vegetable,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Beetroot,Davangere,19.61,per kg,Vegetable,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Beetroot,Davangere,21.63,per kg,Vegetable,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Beetroot,Davangere,23.54,per kg,Vegetable,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Beetroot,Davangere,20.54,per kg,Vegetable,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Beetroot,Davangere,16.44,per kg,Vegetable,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Beetroot,Davangere,29.77,per kg,Vegetable,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Beetroot,Davangere,29.41,per kg,Vegetable,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Beetroot,Davangere,21.8,per kg,Vegetable,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Beetroot,Davangere,27.77,per kg,Vegetable,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Beetroot,Davangere,28.17,per kg,Vegetable,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Beetroot,Davangere,28.77,per kg,Vegetable,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Beetroot,Davangere,33.06,per kg,Vegetable,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Beetroot,Davangere,24.4,per kg,Vegetable,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Beetroot,Davangere,36.09,per kg,Vegetable,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Beetroot,Davangere,31.76,per kg,Vegetable,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Beetroot,Davangere,39.85,per kg,Vegetable,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Beetroot,Davangere,35.21,per kg,Vegetable,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Beetroot,Davangere,30.77,per kg,Vegetable,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Beetroot,Davangere,35.9,per kg,Vegetable,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Beetroot,Davangere,46.19,per kg,Vegetable,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Beetroot,Davangere,35.79,per kg,Vegetable,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Beetroot,Davangere,38.02,per kg,Vegetable,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Beetroot,Davangere,33.63,per kg,Vegetable,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Beetroot,Davangere,37.68,per kg,Vegetable,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Beetroot,Davangere,47.84,per kg,Vegetable,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Beetroot,Davangere,35.96,per kg,Vegetable,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Beetroot,Davangere,31.54,per kg,Vegetable,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Beetroot,Davangere,43.94,per kg,Vegetable,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Beetroot,Davangere,45.33,per kg,Vegetable,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Beetroot,Davangere,28.53,per kg,Vegetable,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Beetroot,Davangere,33.96,per kg,Vegetable,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Beetroot,Davangere,38.53,per kg,Vegetable,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Beetroot,Davangere,37.22,per kg,Vegetable,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Beetroot,Davangere,35.54,per kg,Vegetable,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Beetroot,Davangere,22.51,per kg,Vegetable,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Beetroot,Davangere,32.0,per kg,Vegetable,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Beetroot,Davangere,36.55,per kg,Vegetable,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Beetroot,Davangere,26.74,per kg,Vegetable,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Beetroot,Davangere,28.53,per kg,Vegetable,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Beetroot,Davangere,28.77,per kg,Vegetable,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Beetroot,Davangere,25.84,per kg,Vegetable,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Beetroot,Davangere,22.31,per kg,Vegetable,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Beetroot,Davangere,23.33,per kg,Vegetable,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Beetroot,Gulbarga,19.12,per kg,Vegetable,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Beetroot,Gulbarga,15.07,per kg,Vegetable,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Beetroot,Gulbarga,27.37,per kg,Vegetable,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Beetroot,Gulbarga,20.01,per kg,Vegetable,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Beetroot,Gulbarga,19.38,per kg,Vegetable,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Beetroot,Gulbarga,23.55,per kg,Vegetable,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Beetroot,Gulbarga,24.26,per kg,Vegetable,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Beetroot,Gulbarga,23.29,per kg,Vegetable,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Beetroot,Gulbarga,21.02,per kg,Vegetable,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Beetroot,Gulbarga,22.69,per kg,Vegetable,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Beetroot,Gulbarga,23.43,per kg,Vegetable,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Beetroot,Gulbarga,17.85,per kg,Vegetable,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Beetroot,Gulbarga,24.79,per kg,Vegetable,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Beetroot,Gulbarga,28.03,per kg,Vegetable,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Beetroot,Gulbarga,24.05,per kg,Vegetable,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Beetroot,Gulbarga,25.3,per kg,Vegetable,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Beetroot,Gulbarga,30.6,per kg,Vegetable,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Beetroot,Gulbarga,26.97,per kg,Vegetable,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Beetroot,Gulbarga,25.27,per kg,Vegetable,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Beetroot,Gulbarga,29.51,per kg,Vegetable,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Beetroot,Gulbarga,36.27,per kg,Vegetable,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Beetroot,Gulbarga,31.99,per kg,Vegetable,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Beetroot,Gulbarga,26.25,per kg,Vegetable,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Beetroot,Gulbarga,28.73,per kg,Vegetable,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Beetroot,Gulbarga,30.86,per kg,Vegetable,Historical Pattern Analysis,2025,1,30,30,5,Winter
2025-02-06,Beetroot,Gulbarga,35.85,per kg,Vegetable,Historical Pattern Analysis,2025,2,6,37,6,Winter
2025-02-13,Beetroot,Gulbarga,46.84,per kg,Vegetable,Historical Pattern Analysis,2025,2,13,44,7,Winter
2025-02-20,Beetroot,Gulbarga,40.06,per kg,Vegetable,Historical Pattern Analysis,2025,2,20,51,8,Winter
2025-02-27,Beetroot,Gulbarga,36.57,per kg,Vegetable,Historical Pattern Analysis,2025,2,27,58,9,Winter
2025-03-06,Beetroot,Gulbarga,26.08,per kg,Vegetable,Historical Pattern Analysis,2025,3,6,65,10,Summer
2025-03-13,Beetroot,Gulbarga,38.88,per kg,Vegetable,Historical Pattern Analysis,2025,3,13,72,11,Summer
2025-03-20,Beetroot,Gulbarga,37.77,per kg,Vegetable,Historical Pattern Analysis,2025,3,20,79,12,Summer
2025-03-27,Beetroot,Gulbarga,38.34,per kg,Vegetable,Historical Pattern Analysis,2025,3,27,86,13,Summer
2025-04-03,Beetroot,Gulbarga,39.07,per kg,Vegetable,Historical Pattern Analysis,2025,4,3,93,14,Summer
2025-04-10,Beetroot,Gulbarga,37.78,per kg,Vegetable,Historical Pattern Analysis,2025,4,10,100,15,Summer
2025-04-17,Beetroot,Gulbarga,39.37,per kg,Vegetable,Historical Pattern Analysis,2025,4,17,107,16,Summer
2025-04-24,Beetroot,Gulbarga,45.17,per kg,Vegetable,Historical Pattern Analysis,2025,4,24,114,17,Summer
2025-05-01,Beetroot,Gulbarga,28.58,per kg,Vegetable,Historical Pattern Analysis,2025,5,1,121,18,Summer
2025-05-08,Beetroot,Gulbarga,33.48,per kg,Vegetable,Historical Pattern Analysis,2025,5,8,128,19,Summer
2025-05-15,Beetroot,Gulbarga,40.83,per kg,Vegetable,Historical Pattern Analysis,2025,5,15,135,20,Summer
2025-05-22,Beetroot,Gulbarga,36.81,per kg,Vegetable,Historical Pattern Analysis,2025,5,22,142,21,Summer
2025-05-29,Beetroot,Gulbarga,41.09,per kg,Vegetable,Historical Pattern Analysis,2025,5,29,149,22,Summer
2025-06-05,Beetroot,Gulbarga,35.01,per kg,Vegetable,Historical Pattern Analysis,2025,6,5,156,23,Monsoon
2025-06-12,Beetroot,Gulbarga,40.7,per kg,Vegetable,Historical Pattern Analysis,2025,6,12,163,24,Monsoon
2025-06-19,Beetroot,Gulbarga,31.93,per kg,Vegetable,Historical Pattern Analysis,2025,6,19,170,25,Monsoon
2025-06-26,Beetroot,Gulbarga,27.31,per kg,Vegetable,Historical Pattern Analysis,2025,6,26,177,26,Monsoon
2025-07-03,Beetroot,Gulbarga,28.77,per kg,Vegetable,Historical Pattern Analysis,2025,7,3,184,27,Monsoon
2025-07-10,Beetroot,Gulbarga,27.0,per kg,Vegetable,Historical Pattern Analysis,2025,7,10,191,28,Monsoon
2025-07-17,Beetroot,Gulbarga,24.44,per kg,Vegetable,Historical Pattern Analysis,2025,7,17,198,29,Monsoon
2025-07-24,Beetroot,Gulbarga,24.41,per kg,Vegetable,Historical Pattern Analysis,2025,7,24,205,30,Monsoon
2025-07-31,Beetroot,Gulbarga,22.96,per kg,Vegetable,Historical Pattern Analysis,2025,7,31,212,31,Monsoon
2025-08-07,Beetroot,Gulbarga,20.62,per kg,Vegetable,Historical Pattern Analysis,2025,8,7,219,32,Monsoon
2025-08-14,Beetroot,Gulbarga,29.03,per kg,Vegetable,Historical Pattern Analysis,2025,8,14,226,33,Monsoon
2024-08-15,Beetroot,Hassan,24.16,per kg,Vegetable,Historical Pattern Analysis,2024,8,15,228,33,Monsoon
2024-08-22,Beetroot,Hassan,24.73,per kg,Vegetable,Historical Pattern Analysis,2024,8,22,235,34,Monsoon
2024-08-29,Beetroot,Hassan,22.32,per kg,Vegetable,Historical Pattern Analysis,2024,8,29,242,35,Monsoon
2024-09-05,Beetroot,Hassan,20.43,per kg,Vegetable,Historical Pattern Analysis,2024,9,5,249,36,Monsoon
2024-09-12,Beetroot,Hassan,21.36,per kg,Vegetable,Historical Pattern Analysis,2024,9,12,256,37,Monsoon
2024-09-19,Beetroot,Hassan,23.99,per kg,Vegetable,Historical Pattern Analysis,2024,9,19,263,38,Monsoon
2024-09-26,Beetroot,Hassan,17.46,per kg,Vegetable,Historical Pattern Analysis,2024,9,26,270,39,Monsoon
2024-10-03,Beetroot,Hassan,23.25,per kg,Vegetable,Historical Pattern Analysis,2024,10,3,277,40,Post-Monsoon
2024-10-10,Beetroot,Hassan,14.17,per kg,Vegetable,Historical Pattern Analysis,2024,10,10,284,41,Post-Monsoon
2024-10-17,Beetroot,Hassan,23.43,per kg,Vegetable,Historical Pattern Analysis,2024,10,17,291,42,Post-Monsoon
2024-10-24,Beetroot,Hassan,20.66,per kg,Vegetable,Historical Pattern Analysis,2024,10,24,298,43,Post-Monsoon
2024-10-31,Beetroot,Hassan,24.46,per kg,Vegetable,Historical Pattern Analysis,2024,10,31,305,44,Post-Monsoon
2024-11-07,Beetroot,Hassan,18.93,per kg,Vegetable,Historical Pattern Analysis,2024,11,7,312,45,Post-Monsoon
2024-11-14,Beetroot,Hassan,18.78,per kg,Vegetable,Historical Pattern Analysis,2024,11,14,319,46,Post-Monsoon
2024-11-21,Beetroot,Hassan,23.73,per kg,Vegetable,Historical Pattern Analysis,2024,11,21,326,47,Post-Monsoon
2024-11-28,Beetroot,Hassan,22.98,per kg,Vegetable,Historical Pattern Analysis,2024,11,28,333,48,Post-Monsoon
2024-12-05,Beetroot,Hassan,23.53,per kg,Vegetable,Historical Pattern Analysis,2024,12,5,340,49,Winter
2024-12-12,Beetroot,Hassan,24.69,per kg,Vegetable,Historical Pattern Analysis,2024,12,12,347,50,Winter
2024-12-19,Beetroot,Hassan,31.14,per kg,Vegetable,Historical Pattern Analysis,2024,12,19,354,51,Winter
2024-12-26,Beetroot,Hassan,22.93,per kg,Vegetable,Historical Pattern Analysis,2024,12,26,361,52,Winter
2025-01-02,Beetroot,Hassan,36.52,per kg,Vegetable,Historical Pattern Analysis,2025,1,2,2,1,Winter
2025-01-09,Beetroot,Hassan,31.82,per kg,Vegetable,Historical Pattern Analysis,2025,1,9,9,2,Winter
2025-01-16,Beetroot,Hassan,26.73,per kg,Vegetable,Historical Pattern Analysis,2025,1,16,16,3,Winter
2025-01-23,Beetroot,Hassan,30.82,per kg,Vegetable,Historical Pattern Analysis,2025,1,23,23,4,Winter
2025-01-30,Beetroot,Hassan,32.72,per kg,Vegetable,Historical Pattern Analysis,2025,1,30,30,5,Winter
